Concepto,Monto,Quincena,Mes,Tipo concepto
Citi,8326.88,Q1,Ene,Ingreso
Nu,0.0,Q1,Ene,Gasto
Citi Q1,0.0,Q1,Ene,Gasto
Renta,0.0,Q1,Ene,Gasto
Internet,0.0,Q1,Ene,Gasto
Gas,400.0,Q1,Ene,Gasto
Gasto semanal,3000.0,Q1,Ene,Gasto
Mecánico,1240.0,Q1,Ene,Gasto
Coppel,365.0,Q1,Ene,Gasto
Tanda,1000.0,Q1,Ene,Gasto
Madre ,1750.0,Q1,Ene,Gasto
Otros,2143.52,Q1,Ene,Gasto
Resta,906.48,Q1,Ene,Gasto
Dinero guardado,2113.0,Q2,Ene,Ingreso
venta oax,2220.0,Q2,Ene,Ingreso
venta combinada,2780.0,Q2,Ene,Ingreso
Comidas,4000.0,Q2,Ene,Gasto
Madre,1750.0,Q2,Ene,Gasto
Renta,1000.0,Q2,Ene,Gasto
Pago Citi,6553.0,Q2,Ene,Gasto
Tanda,0.0,Q2,Ene,Gasto
Coppel,365.0,Q2,Ene,Gasto
Colcha gaby,40.0,Q2,Ene,Gasto
Internet,450.0,Q2,Ene,Gasto
Renta,1000.0,Q1,Feb,Gasto
Mayoreo,1000.0,Q1,Feb,Gasto
Semanas,2500.0,Q1,Feb,Gasto
compras super,1000.0,Q1,Feb,Gasto
Tarjeta Citi,1145.5,Q1,Feb,Gasto
Tarjeta Un,584.0,Q1,Feb,Gasto
Gas auto,500.0,Q1,Feb,Gasto
Prestamo madre,1750.0,Q1,Feb,Gasto
TOTAL GASTOS,7729.5,Q1,Feb,Gasto
Ahorrado fisico,0.0,Q2,Feb,Ingreso
Ahorrado banca,809.0,Q2,Feb,Ingreso
Mayoreo,900.0,Q2,Feb,Gasto
Semanas,3000.0,Q2,Feb,Gasto
compras super,1000.0,Q2,Feb,Gasto
Gas auto,0.0,Q2,Feb,Gasto
Tarjeta nu,989.18,Q2,Feb,Gasto
Tarjeta Citi,2798.26,Q2,Feb,Gasto
Prestamo madre,1750.0,Q2,Feb,Gasto
tanda gris,500.0,Q2,Feb,Gasto
TOTAL GASTOS,10937.44,Q2,Feb,Gasto
Ahorrado banca,0.0,Q1,Mar,Ingreso
Mayoreo,900.0,Q1,Mar,Gasto
Semanas,3700.0,Q1,Mar,Gasto
compras super,1000.0,Q1,Mar,Gasto
Tarjeta Citi,0.0,Q1,Mar,Gasto
Tarjeta nu,989.18,Q1,Mar,Gasto
Gas auto,500.0,Q1,Mar,Gasto
Prestamo madre,1750.0,Q1,Mar,Gasto
Puto carro,2000.0,Q1,Mar,Gasto
TOTAL GASTOS,10839.18,Q1,Mar,Gasto
Ahorrado banca,3500.0,Q2,Mar,Ingreso
Mayoreo,1000.0,Q2,Mar,Gasto
Semanas,4000.0,Q2,Mar,Gasto
compras super,1000.0,Q2,Mar,Gasto
Tarjeta Citi,3000.0,Q2,Mar,Gasto
Tarjeta nu,1000.0,Q2,Mar,Gasto
Gas auto,1000.0,Q2,Mar,Gasto
Prestamo madre,1750.0,Q2,Mar,Gasto
Llanta,500.0,Q2,Mar,Gasto
TOTAL GASTO,13250.0,Q2,Mar,Gasto
Ahorrado banca,2000.0,Q1,Abril,Ingreso
Prestamo méxico Beto,312.0,Q1,Abril,Ingreso
Prestamo méxico Chico,763.0,Q1,Abril,Ingreso
Mayoreo,0.0,Q1,Abril,Gasto
Semanas,3000.0,Q1,Abril,Gasto
compras super,300.0,Q1,Abril,Gasto
Prestamo madre,1750.0,Q1,Abril,Gasto
Gas auto,1000.0,Q1,Abril,Gasto
Coppel,1464.0,Q1,Abril,Gasto
Tarjeta Citi,500.0,Q1,Abril,Gasto
Tarjeta nu,2500.0,Q1,Abril,Gasto
TOTAL GASTO,10514.0,Q1,Abril,Gasto
AHORRO,4902.9,Q1,Abril,Gasto
Ahorrado banca,1116.6,Q2,Abril,Ingreso
Prestamo méxico Chico,763.0,Q2,Abril,Ingreso
Prestamo boletos chico,2250.0,Q2,Abril,Ingreso
Mayoreo,800.0,Q2,Abril,Gasto
Semanas,4000.0,Q2,Abril,Gasto
compras super,0.0,Q2,Abril,Gasto
Prestamo madre,1750.0,Q2,Abril,Gasto
Gas auto,1000.0,Q2,Abril,Gasto
Coppel,486.0,Q2,Abril,Gasto
Tarjeta Citi,1250.0,Q2,Abril,Gasto
Tarjeta nu,0.0,Q2,Abril,Gasto
Renta,1000.0,Q2,Abril,Gasto
TOTAL GASTO,10286.0,Q2,Abril,Gasto
AHORRO,2680.6,Q2,Abril,Gasto
Ahorrado banca,0.0,Q1,May,Ingreso
Semanas,4051.29,Q1,May,Gasto
Prestamo madre,1750.0,Q1,May,Gasto
Gas auto,1000.0,Q1,May,Gasto
Renta,1500.0,Q1,May,Gasto
Arreglos moto,1000.0,Q1,May,Gasto
Guardería Dara,1000.0,Q1,May,Gasto
TOTAL GASTO,10301.29,Q1,May,Gasto
